Date,Nifty,PE,Gold
2007-09-17,4494.649902,18.86,949.0
2007-09-18,4546.200195,19.07,944.0
2007-09-19,4732.350098,19.71,952.0
2007-09-20,4747.549805,19.83,953.0
2007-09-21,4837.549805,20.07,953.0
2007-09-24,4932.200195,20.56,957.0
2007-09-25,4938.850098,20.59,951.0
2007-09-26,4940.5,20.65,951.0
2007-09-27,5000.549805,20.79,952.5
2007-09-28,5021.350098,20.99,960.0
2007-10-01,5068.950195,21.23,962.0
2007-10-03,5210.799805,21.69,949.0
2007-10-04,5208.649902,21.73,936.5
2007-10-05,5185.850098,21.61,947.0
2007-10-08,5085.100098,21.07,947.0
2007-10-09,5327.25,21.95,948.0
2007-10-10,5441.450195,22.38,947.98999
2007-10-11,5524.850098,22.71,954.5
2007-10-12,5428.25,22.33,958.0
2007-10-15,5670.399902,23.15,969.98999
2007-10-16,5668.049805,23.19,975.0
2007-10-17,5559.299805,22.66,975.0
2007-10-18,5351.0,21.91,967.099976
2007-10-19,5215.299805,21.16,989.0
2007-10-22,5184.0,21.03,989.7899779999999
2007-10-23,5473.700195,22.11,984.73999
2007-10-24,5496.149902,22.24,975.0
2007-10-25,5568.950195,22.44,975.099976
2007-10-26,5702.299805,22.9,994.900024
2007-10-29,5905.899902,23.46,1012.0
2007-10-30,5868.75,23.15,1005.0
2007-10-31,5900.649902,23.04,996.099976
2007-11-01,5866.450195,22.78,1014.0
2007-11-02,5932.399902,23.04,1010.0
2007-11-05,5847.299805,22.87,1020.0
2007-11-06,5786.5,22.77,1036.0
2007-11-07,5782.350098,22.74,1062.0
2007-11-08,5698.75,22.46,1058.0
2007-11-12,5617.100098,22.23,1032.0
2007-11-13,5695.399902,22.61,1017.01001
2007-11-14,5937.899902,23.5,1024.0
2007-11-15,5912.100098,23.61,1031.0
2007-11-16,5906.850098,23.7,1008.0
2007-11-19,5907.649902,23.94,1005.0
2007-11-20,5780.899902,23.46,1005.0
2007-11-21,5561.049805,22.43,1012.080017
2007-11-22,5519.350098,22.22,1024.0
2007-11-23,5608.600098,22.61,1038.0
2007-11-26,5731.700195,23.14,1057.0
2007-11-27,5698.149902,23.09,1058.0
2007-11-28,5617.549805,22.85,1030.099976
2007-11-29,5634.600098,22.8,1038.0
2007-11-30,5762.75,23.42,1032.0
2007-12-03,5865.0,23.9,1018.0
2007-12-04,5858.350098,24.07,1019.0
2007-12-05,5940.0,24.45,1022.0
2007-12-06,5954.700195,24.45,1019.0
2007-12-07,5974.299805,25.02,1017.0
2007-12-10,5960.600098,25.08,1017.0
2007-12-11,6097.25,25.5,1029.0
2007-12-12,6159.299805,25.85,1020.0
2007-12-13,6058.100098,25.62,1032.0
2007-12-14,6047.700195,25.68,1027.98999
2007-12-17,5777.0,24.49,1015.0
2007-12-18,5742.299805,24.41,1015.0
2007-12-19,5751.149902,24.43,1029.0
2007-12-20,5766.5,24.44,1023.0
2007-12-24,5985.100098,25.21,1026.050049
2007-12-26,6070.75,25.76,1035.0
2007-12-27,6081.5,25.81,1041.0
2007-12-28,6079.700195,26.05,1050.140015
2007-12-31,6138.600098,26.4,1068.420044
2008-01-01,6144.350098,26.49,1063.280029
2008-01-02,6179.399902,26.75,1074.0
2008-01-03,6178.549805,26.77,1092.0
2008-01-04,6274.299805,27.07,1090.0
2008-01-07,6279.100098,27.06,1090.0
2008-01-08,6287.850098,26.87,1094.0
2008-01-09,6272.0,26.81,1128.900024
2008-01-10,6156.950195,26.16,1119.550049
2008-01-11,6200.100098,26.28,1126.0
2008-01-14,6206.799805,26.44,1160.0
2008-01-15,6074.25,25.93,1155.0
2008-01-16,5935.75,25.32,1120.0
2008-01-17,5913.200195,24.59,1127.0
2008-01-18,5705.299805,23.41,1120.0
2008-01-21,5208.799805,20.99,1125.0
2008-01-22,4899.299805,19.51,1097.0
2008-01-23,5203.399902,20.76,1120.0
2008-01-24,5033.450195,20.09,1133.0
2008-01-25,5383.350098,21.43,1166.0
2008-01-28,5274.100098,21.2,1160.0
2008-01-29,5280.799805,21.13,1168.0
2008-01-30,5167.600098,20.44,1158.099976
2008-01-31,5137.450195,20.19,1163.5
2008-02-01,5317.25,20.62,1181.75
2008-02-04,5463.5,21.26,1152.0
2008-02-05,5483.899902,21.4,1144.98999
2008-02-06,5322.549805,20.87,1138.0
2008-02-07,5133.25,20.18,1159.599976
2008-02-08,5120.350098,19.99,1169.98999
2008-02-11,4857.0,18.94,1185.900024
2008-02-12,4838.25,18.8,1184.199951
2008-02-13,4929.450195,19.06,1167.849976
2008-02-14,5202.0,20.14,1166.0
2008-02-15,5302.899902,20.61,1174.0
2008-02-18,5276.899902,20.55,1170.0
2008-02-19,5280.799805,20.58,1173.0
2008-02-20,5154.450195,20.11,1190.0
2008-02-21,5191.799805,20.27,1213.900024
2008-02-22,5110.75,19.97,1224.5
2008-02-25,5200.700195,20.21,1240.0
2008-02-26,5270.049805,20.49,1213.0
2008-02-27,5268.399902,20.49,1232.0
2008-02-28,5285.100098,20.48,1234.099976
2008-02-29,5223.5,20.29,1257.0
2008-03-03,4953.0,19.26,1290.0
2008-03-04,4864.25,18.82,1289.5
2008-03-05,4921.399902,18.92,1260.0
2008-03-07,4771.600098,18.25,1295.099976
2008-03-10,4800.399902,18.28,1286.0
2008-03-11,4865.899902,18.73,1280.099976
2008-03-12,4872.0,18.68,1280.199951
2008-03-13,4623.600098,17.63,1291.0
2008-03-14,4745.799805,18.06,1305.0
2008-03-17,4503.100098,17.01,1369.900024
2008-03-18,4533.0,17.01,1330.0
2008-03-19,4573.950195,17.08,1299.0
2008-03-24,4609.850098,17.08,1196.699951
2008-03-25,4877.5,18.12,1208.75
2008-03-26,4828.850098,18.06,1219.0
2008-03-27,4830.25,18.04,1224.0
2008-03-28,4942.0,18.55,1215.0
2008-03-31,4734.5,17.86,1217.0
2008-04-01,4739.549805,17.82,1171.709961
2008-04-02,4754.200195,17.9,1154.5
2008-04-03,4771.600098,17.93,1176.0
2008-04-04,4647.0,17.49,1180.0
2008-04-07,4761.200195,17.88,1189.900024
2008-04-08,4709.649902,17.77,1199.0
2008-04-09,4747.049805,17.94,1176.75
2008-04-10,4733.0,17.88,1205.0
2008-04-11,4777.799805,18.03,1200.0
2008-04-15,4879.649902,18.38,1207.0
2008-04-16,4887.299805,18.48,1219.0
2008-04-17,4958.399902,18.8,1233.650024
2008-04-21,5037.0,19.11,1199.0
2008-04-22,5049.299805,19.11,1197.150024
2008-04-23,5022.799805,19.01,1197.0
2008-04-24,4999.850098,19.03,1179.0
2008-04-25,5111.700195,19.3,1165.0
2008-04-28,5089.649902,19.23,1164.0
2008-04-29,5195.5,19.51,1165.0
2008-04-30,5165.899902,19.41,1152.099976
2008-05-02,5228.200195,19.66,1141.0
2008-05-05,5192.25,19.56,1146.699951
2008-05-06,5144.649902,19.33,1159.0
2008-05-07,5135.5,19.21,1177.0
2008-05-08,5081.700195,19.0,1189.0
2008-05-09,4982.600098,18.59,1200.0
2008-05-12,5012.649902,18.6,1193.0
2008-05-13,4957.799805,18.47,1195.0
2008-05-14,5011.75,18.66,1185.5
2008-05-15,5115.25,18.98,1194.0
2008-05-16,5157.700195,19.1,1207.5
2008-05-20,5104.950195,18.93,1244.75
2008-05-21,5117.649902,18.94,1272.0
2008-05-22,5025.450195,18.6,1293.0
2008-05-23,4946.549805,18.31,1273.050049
2008-05-26,4875.049805,17.97,1274.0
2008-05-27,4859.799805,17.89,1279.199951
2008-05-28,4918.350098,18.22,1239.0
2008-05-29,4835.299805,18.02,1242.0
2008-05-30,4870.100098,18.09,1212.0
2008-06-02,4739.600098,17.58,1220.0
2008-06-03,4715.899902,17.48,1236.0
2008-06-04,4585.600098,16.96,1223.98999
2008-06-05,4676.950195,17.22,1216.890015
2008-06-06,4627.799805,17.02,1219.0
2008-06-09,4500.950195,16.47,1258.5
2008-06-10,4449.799805,16.28,1239.0
2008-06-11,4523.600098,16.57,1224.97998
2008-06-12,4539.350098,16.64,1214.0
2008-06-13,4517.100098,16.58,1210.98999
2008-06-16,4572.5,16.79,1210.0
2008-06-17,4653.0,17.17,1234.0
2008-06-18,4582.399902,16.93,1224.099976
2008-06-19,4504.25,16.62,1230.5
2008-06-20,4347.549805,16.06,1250.0
2008-06-23,4266.399902,15.64,1259.0
2008-06-24,4191.100098,15.36,1236.0
2008-06-25,4252.649902,15.54,1233.0
2008-06-26,4315.850098,15.68,1238.0
2008-06-27,4136.649902,15.05,1269.599976
2008-06-30,4040.550049,14.65,1302.98999
2008-07-01,3896.75,14.1,1300.0
2008-07-02,4093.350098,14.79,1302.0
2008-07-03,3925.75,14.22,1314.0
2008-07-04,4016.0,14.61,1305.0
2008-07-07,4030.0,14.75,1295.0
2008-07-08,3988.550049,14.65,1302.0
2008-07-09,4157.100098,15.26,1293.0
2008-07-10,4162.200195,15.27,1303.0
2008-07-11,4049.0,14.84,1328.0
2008-07-14,4039.699951,14.79,1330.599976
2008-07-15,3861.100098,14.15,1373.0
2008-07-16,3816.699951,14.0,1367.0
2008-07-17,3947.199951,14.44,1339.849976
2008-07-18,4092.25,14.88,1337.0
2008-07-21,4159.5,15.04,1340.300049
2008-07-22,4240.100098,15.32,1340.099976
2008-07-23,4476.799805,16.17,1281.98999
2008-07-24,4433.549805,16.04,1274.599976
2008-07-25,4311.850098,15.62,1281.849976
2008-07-28,4332.100098,15.63,1277.0
2008-07-29,4189.850098,15.03,1278.01001
2008-07-30,4313.549805,15.63,1260.0
2008-07-31,4332.950195,15.69,1255.130005
2008-08-01,4413.549805,16.02,1255.48999
2008-08-04,4395.350098,16.08,1253.0
2008-08-05,4502.850098,16.47,1224.0
2008-08-06,4517.549805,16.49,1218.0
2008-08-07,4523.850098,16.52,1220.0
2008-08-08,4529.5,16.56,1210.0
2008-08-11,4620.399902,16.89,1194.0
2008-08-12,4552.25,16.66,1182.0
2008-08-13,4529.049805,16.57,1188.0
2008-08-14,4430.700195,16.18,1190.099976
2008-08-18,4393.049805,16.04,1170.0
2008-08-19,4368.25,15.95,1180.0
2008-08-20,4415.75,16.11,1177.0
2008-08-21,4283.850098,15.65,1185.98999
2008-08-22,4327.450195,15.76,1191.0
2008-08-25,4335.350098,15.8,1175.060059
2008-08-26,4337.5,15.81,1165.199951
2008-08-27,4292.100098,15.65,1178.5
2008-08-28,4214.0,15.41,1183.0
2008-08-29,4360.0,15.92,1191.0
2008-09-01,4348.649902,15.89,1189.27002
2008-09-02,4504.0,16.43,1165.0
2008-09-04,4447.75,16.26,1169.5
2008-09-05,4352.299805,15.92,1161.939941
2008-09-08,4482.299805,16.32,1166.410034
2008-09-09,4468.700195,16.26,1164.0
2008-09-10,4400.25,16.35,1147.0
2008-09-11,4290.299805,16.0,1122.25
2008-09-12,4228.450195,15.74,1127.0
2008-09-15,4072.899902,15.13,1152.26001
2008-09-16,4074.899902,15.06,1170.98999
2008-09-17,4008.25,14.79,1175.0
2008-09-18,4038.149902,14.79,1261.0
2008-09-19,4245.25,15.46,1239.0
2008-09-22,4223.049805,15.67,1261.349976
2008-09-23,4126.899902,15.35,1278.0
2008-09-24,4161.25,15.45,1269.900024
2008-09-25,4110.549805,15.29,1280.73999
2008-09-26,3985.25,14.82,1266.050049
2008-09-29,3850.050049,14.27,1284.0
2008-09-30,3921.199951,14.51,1293.98999
2008-10-01,3950.75,14.63,1305.0
2008-10-03,3818.300049,14.16,1266.0
2008-10-06,3602.350098,13.33,1261.0
2008-10-07,3606.600098,13.25,1306.0
2008-10-08,3513.649902,12.79,1342.0
2008-10-10,3279.949951,11.89,1365.949951
2008-10-13,3490.699951,12.57,1305.5
2008-10-14,3518.649902,12.72,1280.099976
2008-10-15,3338.399902,12.1,1304.0
2008-10-16,3269.300049,11.91,1305.0
2008-10-17,3074.350098,11.29,1266.0
2008-10-20,3122.800049,11.46,1350.0
2008-10-21,3234.899902,11.85,1260.0
2008-10-22,3065.149902,11.3,1195.0
2008-10-23,2943.149902,10.85,1179.050049
2008-10-24,2584.0,9.58,1139.859985
2008-10-27,2524.199951,9.29,1130.0
2008-10-29,2697.050049,9.89,1195.0
2008-10-31,2885.600098,11.15,1165.0
2008-11-03,3043.850098,12.0,1170.0
2008-11-04,3142.100098,12.42,1158.98999
2008-11-05,2994.949951,11.94,1148.0
2008-11-06,2892.649902,11.57,1144.0
2008-11-07,2973.0,11.85,1150.0
2008-11-10,3148.25,12.49,1150.050049
2008-11-11,2938.649902,11.8,1147.51001
2008-11-12,2848.449951,11.48,1154.300049
2008-11-14,2810.350098,11.29,1162.98999
2008-11-17,2799.550049,11.16,1170.150024
2008-11-18,2683.149902,10.74,1173.51001
2008-11-19,2635.0,10.54,1177.0
2008-11-20,2553.149902,10.19,1200.0
2008-11-21,2693.449951,10.6,1211.0
2008-11-24,2708.25,10.64,1271.0
2008-11-25,2654.0,10.46,1287.5
2008-11-26,2752.25,10.72,1280.0
2008-11-28,2755.100098,10.73,1272.079956
2008-12-01,2682.899902,10.49,1284.949951
2008-12-02,2657.800049,10.4,1239.98999
2008-12-03,2656.449951,10.46,1239.0
2008-12-04,2788.0,10.94,1237.0
2008-12-05,2714.399902,10.68,1231.699951
2008-12-08,2784.0,10.88,1205.0
2008-12-10,2928.25,11.36,1225.099976
2008-12-11,2920.149902,11.4,1258.5
2008-12-12,2921.350098,11.44,1256.5
2008-12-15,2981.199951,11.71,1264.0
2008-12-16,3041.75,11.98,1269.5
2008-12-17,2954.350098,11.63,1270.150024
2008-12-18,3060.75,12.04,1293.900024
2008-12-19,3077.5,12.16,1261.0
2008-12-22,3039.300049,12.03,1268.0
2008-12-23,2968.649902,11.73,1284.099976
2008-12-24,2916.850098,11.57,1287.0
2008-12-26,2857.25,11.36,1287.0
2008-12-29,2922.199951,11.6,1321.0
2008-12-30,2979.5,11.85,1330.0
2008-12-31,2959.149902,11.8,1325.0
2009-01-02,3046.75,12.23,1340.050049
2009-01-05,3121.449951,12.5,1325.0
2009-01-06,3112.800049,12.49,1300.0
2009-01-07,2920.399902,11.67,1313.060059
2009-01-09,2873.0,11.42,1320.0
2009-01-12,2773.100098,11.32,1330.0
2009-01-13,2744.949951,11.18,1299.0
2009-01-14,2835.300049,11.51,1290.0
2009-01-15,2736.699951,11.15,1290.0
2009-01-16,2828.449951,11.46,1295.0
2009-01-19,2846.199951,11.55,1304.0
2009-01-20,2796.600098,11.42,1310.0
2009-01-21,2706.149902,11.09,1334.0
2009-01-22,2713.800049,11.06,1339.0
2009-01-23,2678.550049,11.11,1346.0
2009-01-27,2771.350098,11.52,1365.0
2009-01-28,2849.5,11.89,1360.0
2009-01-29,2823.949951,11.98,1357.0
2009-01-30,2874.800049,12.15,1400.25
2009-02-02,2766.649902,12.22,1396.01001
2009-02-03,2783.899902,12.25,1399.0
2009-02-04,2803.050049,12.31,1385.0
2009-02-05,2780.050049,12.22,1401.5
2009-02-06,2843.100098,12.47,1391.27002
2009-02-09,2919.899902,12.8,1402.900024
2009-02-10,2934.5,12.86,1392.0
2009-02-11,2925.699951,12.84,1412.0
2009-02-12,2893.050049,12.73,1438.01001
2009-02-13,2948.350098,12.95,1440.0
2009-02-16,2848.5,12.55,1440.0
2009-02-17,2770.5,12.22,1492.0
2009-02-18,2776.149902,12.23,1540.0
2009-02-19,2789.350098,12.27,1515.0
2009-02-20,2736.449951,12.05,1525.0
2009-02-24,2733.899902,12.0,1542.0
2009-02-25,2762.5,12.1,1497.290039
2009-02-26,2785.649902,12.13,1488.0
2009-02-27,2763.649902,12.07,1500.0
2009-03-02,2674.600098,11.73,1543.98999
2009-03-03,2622.399902,11.52,1508.98999
2009-03-04,2645.199951,11.58,1498.0
2009-03-05,2576.699951,11.33,1485.0
2009-03-06,2620.149902,11.45,1524.73999
2009-03-09,2573.149902,11.24,1516.160034
2009-03-12,2617.449951,11.4,1494.469971
2009-03-13,2719.25,11.8,1505.0
2009-03-16,2777.25,12.1,1506.400024
2009-03-17,2757.449951,12.04,1496.01001
2009-03-18,2794.699951,12.22,1485.51001
2009-03-19,2807.149902,12.28,1504.98999
2009-03-20,2807.050049,12.25,1525.199951
2009-03-23,2939.899902,12.77,1521.800049
2009-03-24,2938.699951,12.73,1492.0
2009-03-25,2984.350098,12.91,1490.0
2009-03-26,3082.25,13.25,1487.0
2009-03-27,3108.649902,13.4,1502.5
2009-03-30,2978.149902,12.93,1490.0
2009-03-31,3020.949951,13.13,1492.98999
2009-04-01,3060.350098,13.3,1488.560059
2009-04-02,3211.050049,13.9,1490.0
2009-04-06,3256.600098,14.15,1402.829956
2009-04-08,3342.949951,14.52,1416.01001
2009-04-09,3342.050049,14.57,1416.0
2009-04-13,3382.600098,14.87,1411.01001
2009-04-15,3484.149902,15.38,1426.0
2009-04-16,3369.5,14.82,1411.0
2009-04-17,3384.399902,14.92,1399.0
2009-04-20,3377.100098,14.97,1405.0
2009-04-21,3365.3000490000004,14.9,1425.0
2009-04-22,3330.300049,14.73,1414.0
2009-04-23,3423.699951,15.12,1419.0
2009-04-24,3480.75,15.39,1452.51001
2009-04-27,3470.0,15.4,1467.0
2009-04-28,3362.350098,14.91,1445.0
2009-04-29,3473.949951,15.28,1444.930054
